category_name,category_url
JosiDog,https://www.dm.de/marken/josidog-420082
Jovan,https://www.dm.de/marken/jovan-66424
Judith Williams,https://www.dm.de/marken/judith-williams
Juniper Lane,https://www.dm.de/marken/juniper-lane-66412
Juwelkerzen,https://www.dm.de/marken/juwelkerzen-66374
Käthe Kruse,https://www.dm.de/marken/kaethe-kruse-357376
Kaiser,https://www.dm.de/marken/kaiser-66390
Kaiser Natron,https://www.dm.de/marken/kaiser-natron-66388
Kamill,https://www.dm.de/marken/kamill-66386
Kappus,https://www.dm.de/marken/kappus-895898
KAREX,https://www.dm.de/marken/karex-66376
Karl Lagerfeld,https://www.dm.de/marken/karl-lagerfeld-66372
Katerfly,https://www.dm.de/marken/katerfly-66368
KatzenLiebe,https://www.dm.de/marken/katzenliebe-66366
Kaufmann's,https://www.dm.de/marken/kaufmann-s-66364
Keralock,https://www.dm.de/marken/keralock-66362
KiMiFiNNe,https://www.dm.de/marken/kimifinne-948140
Kinder Em-eukal,https://www.dm.de/marken/kinder-em-eukal-66354
Kindsgut,https://www.dm.de/marken/kindsgut-821776
King C. Gillette,https://www.dm.de/marken/king-c-gillette-357688
Kinzel Verlag,https://www.dm.de/marken/kinzel-verlag-423116
kitekat,https://www.dm.de/marken/kitekat-66350
Klairs,https://www.dm.de/marken/klairs-538094
Klax,https://www.dm.de/marken/klax-66330
Kleenex,https://www.dm.de/marken/kleenex-66328
Klettenwurzel,https://www.dm.de/marken/klettenwurzel-66316
Klosterfrau,https://www.dm.de/marken/klosterfrau-66314
Kneipp,https://www.dm.de/marken/kneipp
Kneipp Naturkind,https://www.dm.de/marken/kneipp-naturkind-972998
Knobi-Vital,https://www.dm.de/marken/knobi-vital-66310
koawach,https://www.dm.de/marken/koawach-66308
Kodak,https://www.dm.de/marken/kodak-66306
Kögler,https://www.dm.de/marken/koegler-423128
Körner Manufaktur,https://www.dm.de/marken/koerner-manufaktur-821922
Kösel,https://www.dm.de/marken/koesel-66298
Kölln,https://www.dm.de/marken/koelln-66304
KONGY,https://www.dm.de/marken/kongy-66302
Kookie Cat,https://www.dm.de/marken/kookie-cat-971586
KoRo,https://www.dm.de/marken/koro-821934
Kühne,https://www.dm.de/marken/kuehne-66296
Kukident,https://www.dm.de/marken/kukident-66292
Kuschelweich,https://www.dm.de/marken/kuschelweich-423172
La Riché Directions,https://www.dm.de/marken/la-riche-directions-66038
Langhaarmädchen,https://www.dm.de/marken/langhaarmaedchen
Lavera,https://www.dm.de/marken/lavera
Lenor,https://www.dm.de/marken/lenor
LITTLE STEPS,https://www.dm.de/marken/little-steps
L.O.V,https://www.dm.de/marken/l-o-v-66356
Love Nature,https://www.dm.de/marken/love-nature
L'ORÉAL PARIS,https://www.dm.de/marken/l-oreal-paris
L'ORÉAL PARIS BONATICALS FRESH CARE,https://www.dm.de/marken/l-oreal-botanicals-fresh-care-66352
L'ORÉAL PARIS CASTING CREME GLOSS,https://www.dm.de/marken/casting-creme-gloss-47264
L'ORÉAL PARIS  EXCELLENCE CREME,https://www.dm.de/marken/excellence-68222
L'ORÉAL PARIS MAGIC RETOUCH,https://www.dm.de/marken/magic-retouch-66004
L'ORÉAL PARiS MEN EXPERT,https://www.dm.de/marken/l-oreal-men-expert-66348
L'Oréal Paris Préférence,https://www.dm.de/marken/l-oreal-paris-preference-882318
L'ORÉAL PARIS STUDIO LINE,https://www.dm.de/marken/l-oreal-studio-line-66102
LA RIVE,https://www.dm.de/marken/la-rive-66036
Labello,https://www.dm.de/marken/labello-66034
Lacalut,https://www.dm.de/marken/lacalut-66032
Lacoste,https://www.dm.de/marken/lacoste-217440
Ladival,https://www.dm.de/marken/ladival-66030
Lancôme,https://www.dm.de/marken/lancome-826882
Lansinoh,https://www.dm.de/marken/lasinoh-45412
Larnac,https://www.dm.de/marken/larnac-66026
Layenberger,https://www.dm.de/marken/layenberger-66022
Layenberger Fit+Feelgood,https://www.dm.de/marken/layenberger-fit-feelgood-66018
Layenberger LowCarb.one,https://www.dm.de/marken/layenberger-lowcarb-one-65966
Lebepur,https://www.dm.de/marken/lebepur-65668
Lefax,https://www.dm.de/marken/lefax-65658
Lillydoo,https://www.dm.de/marken/lillydoo-65558
Linda,https://www.dm.de/marken/linda-65546
Lindenpartner,https://www.dm.de/marken/lindenpartner-1001030
Listerine,https://www.dm.de/marken/listerine-65536
Litamin,https://www.dm.de/marken/litamin-65528
LOOKS by Wolfgang Joop,https://www.dm.de/marken/looks-by-wolfgang-joop-545882
